Date,y_actual,prob_up,pred_direction,signal,signal_correct
2025-12-23,0,0.5003706119792178,Down,Hold,
2025-12-24,1,0.4951834708374419,Down,Hold,
2025-12-26,0,0.503777081060046,Down,Hold,
2025-12-29,1,0.5302997287414216,Up,Buy,1.0
2025-12-30,0,0.5089326376354176,Down,Hold,
2025-12-31,0,0.5044407044388165,Down,Hold,
2026-01-02,0,0.5152871591279928,Up,Hold,
2026-01-05,1,0.480665714529286,Down,Hold,
2026-01-06,0,0.4753915134574435,Down,Sell,1.0
2026-01-07,1,0.5181241594476803,Up,Hold,
2026-01-08,1,0.5067641103250574,Down,Hold,
2026-01-09,0,0.49040439201029745,Down,Hold,
2026-01-12,0,0.4797057068292702,Down,Sell,1.0
2026-01-13,1,0.5124155609729791,Up,Hold,
2026-01-14,0,0.521110766693183,Up,Buy,0.0
2026-01-15,0,0.5053699635480681,Down,Hold,
2026-01-16,0,0.49906986455982993,Down,Hold,
2026-01-20,1,0.5015572638652851,Down,Hold,
2026-01-21,1,0.4946033953155949,Down,Hold,
